anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,demographics,studios
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,tv,High,569695,finished_airing,39,Non-Original,857900,27805,r,True,2018,fall,Action,Shounen,David Production
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,tv,High,656285,finished_airing,39,Non-Original,952930,35034,r,True,2016,spring,Action,Shounen,David Production
32,Neon Genesis Evangelion: The End of Evangelion,movie,High,535545,finished_airing,1,original,802847,24715,r+,True,1997,summer,Avant Garde,None,Gainax
22535,Kiseijuu: Sei no Kakuritsu,tv,High,1031280,finished_airing,24,Non-Original,1654705,31493,r,True,2014,fall,Action,Seinen,Madhouse
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,tv,High,676872,finished_airing,24,Non-Original,949735,18405,r,True,2015,winter,Action,Shounen,David Production
205,Samurai Champloo,tv,High,579698,finished_airing,26,original,1114174,33761,r,True,2004,spring,Action,Shounen,Manglobe
36098,Kimi no Suizou wo Tabetai,movie,High,472985,finished_airing,1,Non-Original,787056,17518,pg_13,True,2018,summer,Drama,None,Studio VOLN
30,Neon Genesis Evangelion,tv,High,941487,finished_airing,26,original,1577958,92424,pg_13,True,1995,fall,Action,None,Gainax
31043,Boku dake ga Inai Machi,tv,High,1214990,finished_airing,12,Non-Original,1852327,43956,r,True,2016,winter,Mystery,Seinen,A-1 Pictures
918,Gintama,tv,High,360760,finished_airing,201,Non-Original,954554,55076,pg_13,True,2006,spring,Action,Shounen,Sunrise
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,tv,High,909507,finished_airing,11,original,1475164,31578,pg_13,True,2011,spring,Drama,None,A-1 Pictures
12355,Ookami Kodomo no Ame to Yuki,movie,High,422750,finished_airing,1,original,742812,10646,g,True,2012,summer,Fantasy,None,Studio Chizu
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,tv,High,371600,finished_airing,12,Non-Original,621116,14756,r,True,2021,fall,Drama,None,Studio Bind
13601,Psycho-Pass,tv,High,720254,finished_airing,22,original,1479179,36094,r,True,2012,fall,Action,None,Production I.G
9756,Mahou Shoujo Madoka★Magica,tv,High,686406,finished_airing,12,original,1165286,49685,pg_13,True,2011,winter,Drama,None,Shaft
33255,Saiki Kusuo no Ψ-nan,tv,High,524823,finished_airing,120,Non-Original,937128,25126,pg_13,True,2016,summer,Comedy,Shounen,J.C.Staff
