,anime_id,studios
658,1254,['Toei Animation']
659,17729,['8bit']
660,42351,['Doga Kobo']
661,18753,"[""Brain's Base""]"
662,32366,['Bandai Namco Pictures']
663,1365,['TMS Entertainment']
664,468,['Production I.G']
665,9926,['Studio Deen']
666,2787,['J.C.Staff']
667,93,['Sunrise']
668,22147,['Kyoto Animation']
669,21659,['Trigger']
670,40615,['Studio Hibari']
671,47194,['OLM']
672,22101,['Pierrot']
673,13535,['Sunrise']
674,5231,['OLM']
675,10793,['Production I.G']
676,23277,['A-1 Pictures']
677,5028,['SynergySP']
678,31051,['Production I.G']
679,34561,['TROYCA']
680,16904,['GoHands']
681,20785,['Madhouse']
682,1594,['Studio Deen']
683,5678,['Madhouse']
684,3572,['Satelight']
685,32268,['Shaft']
686,35677,['Kyoto Animation']
687,9062,['P.A. Works']
688,228,['Studio Deen']
689,430,['Bones']
690,10495,['Doga Kobo']
691,30279,['TYO Animations']
692,4472,['Kyoto Animation']
693,37349,['White Fox']
694,34537,['Science SARU']
695,8142,"['Sunrise', 'Ascension']"
696,31098,"['MAPPA', 'Studio VOLN']"
697,24703,['TNK']
698,7465,['Studio Rikka']
699,39808,['SILVER LINK.']
700,558,['Studio Hibari']
701,20031,"[""Brain's Base""]"
702,27991,['GoHands']
703,50273,['Okuruto Noboru']
704,11737,['A-1 Pictures']
705,37976,['MAPPA']
706,15315,['Diomedéa']
707,7647,['Shaft']
708,5781,"['AIC Spirits', 'BeSTACK']"
709,14467,['GoHands']
710,6171,['TMS Entertainment']
711,12893,['Sunrise']
712,10790,['Studio Deen']
713,5365,['Oh! Production']
714,27663,['Pierrot']
715,1842,['Studio Hibari']
716,21185,['Pierrot']
717,874,['Toei Animation']
718,30694,['Toei Animation']
719,6336,['Sunrise']
720,40540,['A-1 Pictures']
721,1566,['Production I.G']
722,41120,['CloverWorks']
723,9734,['Kyoto Animation']
724,19775,['Polygon Pictures']
725,38145,['Zero-G']
726,41587,['Bones']
727,36904,['Fanworks']
728,22777,['Toei Animation']
729,24405,['Toei Animation']
730,40571,['C2C']
731,50612,['TMS Entertainment']
732,355,['J.C.Staff']
733,267,['Madhouse']
734,48849,['Madhouse']
735,3228,['Shaft']
736,12029,"['Xebec', 'AIC']"
737,97,['Gonzo']
738,40010,['Passione']
739,9074,['Shaft']
740,7592,['Studio Deen']
741,14807,['ufotable']
742,1562,['Nippon Animation']
743,3470,"['Gonzo', 'AIC']"
744,481,['Gallop']
745,37515,['Kinema Citrus']
746,38731,['Madhouse']
747,36286,['White Fox']
748,2994,['Madhouse']
749,14289,['Zexcs']
750,40907,['Toei Animation']
751,90,['Sunrise']
752,18245,['Satelight']
753,43439,['CloverWorks']
754,570,['Production I.G']
755,38555,['SILVER LINK.']
756,8247,['Pierrot']
757,3701,['Madhouse']
758,996,['Toei Animation']
759,60,['Gonzo']
760,7655,['SynergySP']
761,37956,['Hoods Entertainment']
762,400,['Sunrise']
763,857,['Toei Animation']
764,38414,['White Fox']
765,3226,['SynergySP']
766,40454,['J.C.Staff']
767,21327,"[""Brain's Base""]"
768,1840,['J.C.Staff']
769,740,['Toei Animation']
770,33731,['Doga Kobo']
771,1281,['Pierrot']
772,9130,['TMS Entertainment']
773,41488,['8bit']
774,32370,['TMS Entertainment']
775,11319,['J.C.Staff']
776,18119,['A-1 Pictures']
777,114,['Production I.G']
778,20651,"[""Brain's Base""]"
779,3092,['Studio Deen']
780,36470,['Doga Kobo']
781,37985,['Fanworks']
782,8086,['Zexcs']
783,10119,['GoHands']
784,4087,['Manglobe']
785,31592,['OLM']
786,28755,['Pierrot']
787,153,['Pierrot']
788,15117,['Manglobe']
789,2164,['Madhouse']
790,16011,['8bit']
791,25517,['A-1 Pictures']
792,6573,['Bones']
793,11617,['TNK']
794,27633,['Doga Kobo']
795,401,['Studio Deen']
796,14131,['Actas']
797,25015,['Kyoto Animation']
798,23281,['Tatsunoko Production']
799,22097,['Lay-duce']
800,32828,['TMS Entertainment']
801,35240,"['Actas', 'Studio 3Hz']"
802,8407,['AIC ASTA']
803,6945,['Sunrise']
804,122,['Studio Deen']
805,31580,['Polygon Pictures']
806,40496,['SILVER LINK.']
807,50360,['Studio Bind']
808,3297,['Hal Film Maker']
809,4725,"['AIC Spirits', 'asread.']"
810,33071,['Bones']
811,25161,['Toei Animation']
812,31798,['Trigger']
813,8740,['Toei Animation']
814,17909,['P.A. Works']
815,985,['Toei Animation']
816,42429,['Ajia-Do']
817,25303,['Production I.G']
818,16524,['Production I.G']
819,38422,['J.C.Staff']
820,81,['Sunrise']
821,48483,['Passione']
822,37984,['Millepensee']
823,59,['Madhouse']
824,16916,['Production I.G']
825,13663,['Xebec']
826,29854,"['MAPPA', 'Studio VOLN']"
827,22729,"['A-1 Pictures', 'TROYCA']"
828,15323,['Toei Animation']
829,29787,"['Kinema Citrus', 'White Fox']"
830,949,['Gainax']
831,4654,['J.C.Staff']
832,25183,['Manglobe']
833,1364,['TMS Entertainment']
834,24893,['Polygon Pictures']
835,27787,['Shaft']
836,42361,['Telecom Animation Film']
837,2154,['Studio 4°C']
838,43609,['A-1 Pictures']
839,12291,['AIC']
840,10357,['AIC ASTA']
841,4835,['Pierrot']
842,967,['Toei Animation']
843,44087,['Bandai Namco Pictures']
844,33506,['A-1 Pictures']
845,36990,['SILVER LINK.']
846,40682,"['Pierrot', 'Studio Signpost']"
847,527,['OLM']
848,33191,['David Production']
849,15051,['Sunrise']
850,37033,['ufotable']
851,37514,['Kinema Citrus']
