anime_id,genres,type,episodes,source,rating,start_year,start_season,demographics,score,scored_by,members,favorites
2031,Action,tv,13,Non-Original,pg_13,2007,spring,None,Average,12283,33023,61
5691,Action,special,1,Non-Original,pg_13,2004,spring,Shounen,High,2440,6572,9
262,Comedy,ova,3,Non-Original,pg_13,2004,spring,None,Average,4076,9047,7
613,Adventure,tv,52,Non-Original,g,2004,fall,Shounen,High,1907,5804,29
1983,Drama,movie,1,Non-Original,pg_13,2005,fall,None,High,1784,4574,4
38707,Adventure,tv,12,original,pg_13,2019,spring,None,Average,10221,31150,83
31223,Action,tv,12,Non-Original,pg_13,2016,winter,None,Average,27405,64985,94
37963,Boys Love,ona,30,Non-Original,pg_13,2018,spring,None,Average,4044,13236,30
960,Adventure,tv,26,Non-Original,pg_13,2005,winter,None,High,1412,3621,1
32936,Adventure,tv,12,Non-Original,pg_13,2017,spring,None,Average,41478,102893,115
1578,Adventure,tv,13,Non-Original,pg_13,2006,summer,Shoujo,Average,3549,11003,27
43007,Comedy,tv,12,Non-Original,pg_13,2021,spring,None,Average,99708,224738,1628
3672,Comedy,tv,50,Non-Original,g,1994,spring,Shounen,High,1401,2695,24
35446,Hentai,ova,3,Non-Original,rx,2017,spring,None,Average,3895,9241,60
24169,Comedy,ona,1,Non-Original,pg_13,2014,spring,None,Average,2813,6517,1
13163,Supernatural,tv,258,Non-Original,g,2012,spring,Kids,Average,2634,10360,25
2725,Comedy,ova,1,original,pg_13,1994,winter,Shounen,Average,4243,9094,6
8449,Action,tv,12,Non-Original,r,2010,fall,None,Average,35085,83734,348
10668,Hentai,ova,2,Non-Original,rx,2011,fall,None,Average,7837,19171,94
128,Action,ova,6,Non-Original,pg_13,2002,spring,Shounen,Average,4417,10033,19
9934,Comedy,tv,12,Non-Original,pg_13,2011,summer,Seinen,Average,6765,19696,22
34498,Romance,movie,1,Non-Original,pg_13,2017,summer,None,Average,96783,189848,470
16680,Action,movie,1,Non-Original,pg,2013,summer,Kids,Average,25128,42169,10
36536,Slice of Life,tv,12,original,pg_13,2019,summer,None,Average,2694,9199,31
1393,Drama,ova,8,original,pg_13,1994,spring,Shounen,High,1060,2460,11
37864,Comedy,ona,1,Non-Original,g,2018,spring,None,Average,2781,6094,8
929,Action,tv,49,Non-Original,pg_13,1983,winter,None,High,2229,10932,37
1800,Action,special,1,Non-Original,pg_13,1993,summer,Shounen,Average,5053,8767,24
33811,Comedy,tv,12,Non-Original,pg_13,2016,fall,Shounen,Average,7177,13773,12
1290,Sci-Fi,movie,1,original,r,2002,winter,None,Average,5178,10892,17
2684,Action,tv,13,Non-Original,pg_13,2007,summer,Shounen,Average,3845,8318,4
16397,Ecchi,tv,13,Non-Original,pg_13,2013,spring,None,Average,44105,113646,141
197,Comedy,tv,24,Non-Original,r+,2002,spring,None,Average,10194,23721,44
16678,Adventure,movie,1,Non-Original,pg,2013,summer,Kids,Average,4048,9017,6
42206,Comedy,ona,8,Non-Original,pg_13,2020,summer,None,High,1736,5524,24
6794,Action,special,1,Non-Original,r,2009,fall,Seinen,Average,3545,8764,4
1659,Comedy,special,9,original,pg_13,2006,winter,None,Average,2699,5939,4
32895,Hentai,ova,2,Non-Original,rx,2016,spring,None,Average,3322,8321,20
6959,Comedy,ova,1,Non-Original,pg_13,2010,spring,Seinen,High,2151,4575,1
